<ResourceDictionary xmlns="http://schemas.microsoft.com/winfx/2006/xaml/presentation"
    <sys:String x:Key="TITLE_TASK_DEFAULT">デフォルトタスク</sys:String>
    <sys:String x:Key="TITLE_WPT_NUM">フライトポイント番号</sys:String>
    <sys:String x:Key="TITLE_WPT_SPACE">行間隔</sys:String>
    <sys:String x:Key="TITLE_NO_TASK">ノータスク</sys:String>
    <sys:String x:Key="TITLE_PIC_BY_TIME">インターバル撮影</sys:String>
    <sys:String x:Key="TITLE_PIC_BY_DIST">等間隔撮影</sys:String>

    <sys:String x:Key="TITLE_AUTO_TURN">オートターン</sys:String>
    <sys:String x:Key="TITLE_STOP_TURN">自動ホバリング</sys:String>
    <sys:String x:Key="TITLE_LOCK_HEAD_TURN">ヘッドロック</sys:String>

    <sys:String x:Key="TITLE_FLY_MODE">飛行モード：</sys:String>
    <sys:String x:Key="TITLE_FLY_MODE_CRUISE">巡航</sys:String>
    <sys:String x:Key="TITLE_FLY_MODE_CIRCLE">旋回</sys:String>
    <sys:String x:Key="TITLE_FLY_MODE_ATTITUDE">姿　勢</sys:String>
    <sys:String x:Key="TITLE_FLY_MODE_GPS_POSITION">GPS位置</sys:String>
    <sys:String x:Key="TITLE_FLY_MODE_AUTO_HEAD">スマートヘッド</sys:String>
    <sys:String x:Key="TITLE_FLY_MODE_AUTO_TAKE_OFF">自動離陸</sys:String>
    <sys:String x:Key="TITLE_FLY_MODE_WPT_CRUISE">フライトルート</sys:String>
    <sys:String x:Key="TITLE_FLY_MODE_POINT">ポイント指定</sys:String>
    <sys:String x:Key="TITLE_FLY_MODE_FOLLOW">追随モード</sys:String>

    <sys:String x:Key="TITLE_PARACHUTE_OPEN">パラシュートを開く</sys:String>
    <sys:String x:Key="TITLE_PARACHUTE_NOT_OPEN">パラシュートを開かない</sys:String>
    <sys:String x:Key="TITLE_KEEP_STILL">ホバリング</sys:String>

    <sys:String x:Key="TITLE_WPT_PLAN">フライトルート設定</sys:String>
    <sys:String x:Key="TITLE_MAP_DOWN_LOAD">ダウンロード</sys:String>
    <sys:String x:Key="TITLE_MANUAL_WPT">マニュアル設定</sys:String>
    <sys:String x:Key="TITLE_AUTO_WPT">自動設定</sys:String>
    <sys:String x:Key="TITLE_GET_LOCAL_WPT">フライトルートを導入</sys:String>
    <sys:String x:Key="TITLE_ID">ID</sys:String>
    <sys:String x:Key="TITLE_WPT_TASK_FUNCTION">タスク</sys:String>
    <sys:String x:Key="TITLE_TASK_TIME">間隔</sys:String>
    <sys:String x:Key="TITLE_WPT_STOP_TIME">終了時間</sys:String>
    <sys:String x:Key="TITLE_DELETE_WPT">フライトポイントを削除</sys:String>
    <sys:String x:Key="TITLE_WPT_SAVE">フライトルートを保存</sys:String>
    <sys:String x:Key="TITLE_WPT_OPEN">フライトルートを開く</sys:String>
    <sys:String x:Key="TITLE_WPT_UPLOAD">フライトポイントをアップロード</sys:String>
    <sys:String x:Key="TITLE_WPT_DOWNLOAD">フライトポイントをダウンロード</sys:String>
    <sys:String x:Key="TITLE_ESTIMATED_TIME">予測時間</sys:String>
    <sys:String x:Key="TITLE_WPT_TOTAL_DIST">総距離：</sys:String>
    <sys:String x:Key="TITLE_WPT_TOTAL_TIME">トータル時間：</sys:String>
    <sys:String x:Key="TITLE_WPT_TOTAL_ACREAGE">トータル面積：</sys:String>
    <sys:String x:Key="TITLE_FIX_WING_FUNCTION_CONTROL">飛行機機能設定</sys:String>
    <sys:String x:Key="TITLE_YUN_TAI_LEFT">ジンバルを左へ</sys:String>
    <sys:String x:Key="TITLE_YUN_TAI_RIGHT">ジンバルを右へ</sys:String>
    <sys:String x:Key="TITLE_YUN_TAI_MID">ジンバルをセンターへ</sys:String>
    <sys:String x:Key="TITLE_SPEAK">通話</sys:String>

    <sys:String x:Key="TITLE_LINK_LOST">通信中断</sys:String>
    <sys:String x:Key="TITLE_BACK_HOME_ALT">帰航高度</sys:String>
    <sys:String x:Key="TITLE_PROTECTED_VOLT">電圧保護</sys:String>
    <sys:String x:Key="TITLE_CIRCLE_RADIU">指定ポイントR</sys:String>
    <sys:String x:Key="TITLE_LED_INDICATOR">指示灯</sys:String>
    <sys:String x:Key="TITLE_MAG_ERROR">磁気偏角</sys:String>
    <sys:String x:Key="TITLE_FETCH">読取り</sys:String>
    <sys:String x:Key="TITLE_SET">設定</sys:String>
    <sys:String x:Key="TITLE_PLANE_TYPE_SETTINGS">飛行機モデル設定</sys:String>
    <sys:String x:Key="TITLE_REMOTOR_SETTINGS">送信機設定</sys:String>
    <sys:String x:Key="TITLE_PID_SETTINGS">PID設定</sys:String>
    <sys:String x:Key="TITLE_MOTOR_TEST">モーター検測</sys:String>

    <sys:String x:Key="TITLE_ELEVATOR">エレベータ</sys:String>
    <sys:String x:Key="TITLE_AILERON">エルロン</sys:String>
    <sys:String x:Key="TITLE_THROTTLE">スロットル</sys:String>
    <sys:String x:Key="TITLE_RUDDER">ラダー</sys:String>
    <sys:String x:Key="TITLE_GPS">GPS</sys:String>
    <sys:String x:Key="TITLE_ATTITUDE">姿勢</sys:String>
    <sys:String x:Key="TITLE_CIRCLE_ONE_POINT">旋回飛行</sys:String>
    <sys:String x:Key="TITLE_AUTO_HEAD">スマートヘッド</sys:String>
    <sys:String x:Key="TITLE_LOCK_HEAD">ヘッドロック</sys:String>
    <sys:String x:Key="TITLE_REMOTOR_LOST">FSノーコン</sys:String>
    <sys:String x:Key="TITLE_ALL_RIGHT">待機</sys:String>
    <sys:String x:Key="TITLE_START_CALIBRATION">キャリブレーション開始</sys:String>
    <sys:String x:Key="TITLE_END_CALIBRATION">キャリブレーション終了</sys:String>

    <sys:String x:Key="TITLE_ATTITUDE_ROLL">ロール</sys:String>
    <sys:String x:Key="TITLE_ATTITUDE_PITCH">ピッチング</sys:String>
    <sys:String x:Key="TITLE_ATTITUDE_MAG_HEAD">方向</sys:String>
    <sys:String x:Key="TITLE_GYRO_PID">ジャイロ感度</sys:String>
    <sys:String x:Key="TITLE_ATTITUDE_PID">姿勢感度</sys:String>
    <sys:String x:Key="TITLE_ADVANCED_SETTINGS">アドバンスド設定</sys:String>

    <sys:String x:Key="TITLE_PID_I_KX">誤差係数</sys:String>
    <sys:String x:Key="TITLE_PID_I_MAX">誤差量</sys:String>
    <sys:String x:Key="TITLE_PID_GYRO_D_KX">ジャイロ補正係数</sys:String>
    <sys:String x:Key="TITLE_PID_DIST_P">位置</sys:String>
    <sys:String x:Key="TITLE_PID_SPEED_P">速度</sys:String>
    <sys:String x:Key="TITLE_PID_ACC_P">加速度</sys:String>
    <sys:String x:Key="TITLE_PID_ACC_I">加速補助</sys:String>
    <sys:String x:Key="TITLE_PID_HORIZONTAL">水平</sys:String>
    <sys:String x:Key="TITLE_PID_ALT">高度</sys:String>

    <sys:String x:Key="TITLE_MOTOR1">M1</sys:String>
    <sys:String x:Key="TITLE_MOTOR2">M2</sys:String>
    <sys:String x:Key="TITLE_MOTOR3">M3</sys:String>
    <sys:String x:Key="TITLE_MOTOR4">M4</sys:String>
    <sys:String x:Key="TITLE_MOTOR5">M5</sys:String>
    <sys:String x:Key="TITLE_MOTOR6">M6</sys:String>
    <sys:String x:Key="TITLE_MOTOR7">M7</sys:String>
    <sys:String x:Key="TITLE_MOTOR8">M8</sys:String>
    <sys:String x:Key="TITLE_TEST">検査</sys:String>


	<sys:String x:Key="TITLE_VERSION_MULTI_MOTORS">マルチコプター版</sys:String>
    <sys:String x:Key="TITLE_VERSION_FIX_WING">飛行機版</sys:String>

    <sys:String x:Key="TITLE_UNLOCK">自動アンロック</sys:String>
    <sys:String x:Key="TITLE_AUTO_TAKE_OFF">自動離陸</sys:String>
    <sys:String x:Key="TITLE_START_WPT">フライトルート自動開始</sys:String>
    <sys:String x:Key="TITLE_DUAN_DIAN">再開</sys:String>
    <sys:String x:Key="TITLE_ZHI_DIAN">ポイント指定飛行</sys:String>
    <sys:String x:Key="TITLE_INTERRUPUT_WPT">フライトルート一時停止</sys:String>
    <sys:String x:Key="TITLE_CONTINUE_WPT">フライトルート再開</sys:String>
    <sys:String x:Key="TITLE_BACK_HOME">帰航</sys:String>
    <sys:String x:Key="TITLE_TAKE_OFF">自動着陸</sys:String>
    <sys:String x:Key="TITLE_FLIED_TIME">飛行時間：</sys:String>
    <sys:String x:Key="TITLE_FLIED_DIST">飛行距離：</sys:String>
    <sys:String x:Key="TITLE_TARGET_WPT_NUM">目標フライポイント：</sys:String>
    <sys:String x:Key="TITLE_TARGET_WPT_DIST">フライポイント距離：</sys:String>
    <sys:String x:Key="TITLE_AIR_SPEED">対空速度：</sys:String>

    <sys:String x:Key="TITLE_CI_CALIBRATE">磁気校正</sys:String>
    <sys:String x:Key="TITLE_HORIZONTAL_CALIBRATE">水平校正</sys:String>
    <sys:String x:Key="TITLE_FORWARD_AN_ZHUANG">フォーワード設置</sys:String>
    <sys:String x:Key="TITLE_RIGHT_AN_ZHUANG">右設置</sys:String>
    <sys:String x:Key="TITLE_BACK_AN_ZHUANG">バック設置</sys:String>
    <sys:String x:Key="TITLE_LEFT_AN_ZHUANG">左設置</sys:String>

    <sys:String x:Key="TITLE_TAKE_PIC">撮影</sys:String>
    <sys:String x:Key="TITLE_PIC_NUM">撮影枚数：</sys:String>
    <sys:String x:Key="TITLE_DELETE_PIC_POS">POS点を削除</sys:String>

    <sys:String x:Key="TITLE_UP_SHIFT">上へ</sys:String>
    <sys:String x:Key="TITLE_DOWN_SHIFT">下へ</sys:String>
    <sys:String x:Key="TITLE_LEFT_SHIFT">左へ</sys:String>
    <sys:String x:Key="TITLE_RIGHT_SHIFT">右へ</sys:String>

    <sys:String x:Key="TITLE_BASIC_SETTINGS">基本設定</sys:String>
    <sys:String x:Key="TITLE_USUAL_PLANE_TYPE">通常飛行機</sys:String>
    <sys:String x:Key="TITLE_PLANE_TYPE_TRIGGLE">デルタウィング</sys:String>
    <sys:String x:Key="TITLE_PLANE_TYPE_V_TAIL">Vテール</sys:String>
    <sys:String x:Key="TITLE_CIRCLE_RADIUS">旋回半径（メートル）</sys:String>
    <sys:String x:Key="TITLE_LINK_LOST_TIME">無通信時間</sys:String>
    <sys:String x:Key="TITLE_TAKE_OFF_ALT">離陸高度</sys:String>
    <sys:String x:Key="TITLE_PIC_INTERVAL">撮影感覚</sys:String>
    <sys:String x:Key="TITLE_SELECT_PLANE_TYPE">飛行機モデル選択</sys:String>
    <sys:String x:Key="TITLE_TURN_DIST">ターンまで距離</sys:String>
    <sys:String x:Key="TITLE_ANGLE_SETTINGS">角度設定</sys:String>
    <sys:String x:Key="TITLE_SPEED_SETTINGS">速度設定</sys:String>

    <sys:String x:Key="TITLE_AUTO_TAKE_OFF_PITCH_ANGLE">自動離陸ピッチ</sys:String>
    <sys:String x:Key="TITLE_MAX_DESCEND_RATE">最大降下率</sys:String>
    <sys:String x:Key="TITLE_MAX_CLIMB_RATE">最大上昇率</sys:String>
    <sys:String x:Key="TITLE_AUTO_TAKE_OFF_SPEED">自動離陸速度</sys:String>
    <sys:String x:Key="TITLE_CRUISE_SPEED">巡航速度</sys:String>
    <sys:String x:Key="TITLE_CRASH_SPEED">ノーコン速度</sys:String>

    <sys:String x:Key="TITLE_PLANE">飛行機</sys:String>
    <sys:String x:Key="TITLE_PID_ADJUST">感度調整</sys:String>

    <sys:String x:Key="TITLE_RUDDER_SIGNAL">サーボシグナル</sys:String>
    <sys:String x:Key="TITLE_REMOTER">送信機</sys:String>
    <sys:String x:Key="TITLE_START_CALIBRATE">キャリブレーション開始</sys:String>
    <sys:String x:Key="TITLE_STOP_CALIBRATE">キャリブレーション終了</sys:String>
    <sys:String x:Key="TITLE_REMOTER_MID_POS">スティックセントラル</sys:String>

    <sys:String x:Key="TITLE_REVERSE">リバース</sys:String>
    <sys:String x:Key="TITLE_MAX">最大</sys:String>
    <sys:String x:Key="TITLE_RETURN_DEFAULT">リセット</sys:String>
    <sys:String x:Key="TITLE_MID">セントラル</sys:String>
    <sys:String x:Key="TITLE_MIN">最小</sys:String>
    <sys:String x:Key="TITLE_ENGINE_STOP">エンジンストップ</sys:String>

    <sys:String x:Key="TITLE_ALREADY_CONNECT">接続済み</sys:String>
    <sys:String x:Key="TITLE_NOT_YET_CONNECT">未接続</sys:String>

    <sys:String x:Key="TITLE_PREPARE_DOWN_LOAD">ダウンロード準備中</sys:String>
    <sys:String x:Key="TITLE_GRADE">級</sys:String>
    <sys:String x:Key="TITLE_OFF_LINE_DOWN_LOAD">オフラインダウンロード</sys:String>

    <sys:String x:Key="TITLE_SAVE_FILE_SUCCESS">保存しました</sys:String>
    <sys:String x:Key="TITLE_SET_ALL_WPT_PROPERTY">フライトポイントプロパティを設定してください</sys:String>
    <sys:String x:Key="TITLE_WPT_UPLOAD_SUCCESS">アップロードしました！</sys:String>
    <sys:String x:Key="TITLE_END_MANUAL_WPT">マニュアル設定中、終了してよいですか？</sys:String>
    <sys:String x:Key="TITLE_END_AUTO_WPT">自動設定中、終了してよいですか？</sys:String>
    <sys:String x:Key="TITLE_WPT_IS_UPLOADING">フライトポイントをアップロード中</sys:String>
    <sys:String x:Key="TITLE_WPT_IS_DOWN_LOADING">フライトポイントをダウンロード中</sys:String>
    <sys:String x:Key="TITLE_PIC_POS_IS_DOWN_LOADING">POS点をダウンロード中</sys:String>
    <sys:String x:Key="TITLE_WPT_UPLOAD_FAIL">アップロード失敗しました！</sys:String>
    <sys:String x:Key="TITLE_CLEAR_ALL_WPT">クリア</sys:String>

    <sys:String x:Key="TITLE_IP_CHECK_FAIL">IPアドレスまたはシリアルポートを解析失敗しました、チェックしてください！</sys:String>
    <sys:String x:Key="TITLE_FORBIDEN_AREA_UPLOAD_SUCCESS">飛行禁止エリア情報をアップロードしました</sys:String>

    <sys:String x:Key="TITLE_READ_PLAY_BACK_DATA_FAIL">飛行データをダウンロード失敗しました</sys:String>
    <sys:String x:Key="TITLE_READ_POS_FAIL">POSをダウンロード失敗しました</sys:String>

    <sys:String x:Key="TITLE_NO_WPT_TO_UPLOAD">アップロードするフライトポイントがありませんでした</sys:String>
    <sys:String x:Key="TITLE_WPT_EDIT_END">フライトポイント編集を終了してください</sys:String>

    <sys:String x:Key="TITLE_CONNECT">接続</sys:String>
    <sys:String x:Key="TITLE_BEGIN">開始</sys:String>
    <sys:String x:Key="TITLE_END">終了</sys:String>
    <sys:String x:Key="TITLE_DISCONNECT">切断</sys:String>

    <sys:String x:Key="TITLE_WARNNING_NO_IMU">IMUデータなし</sys:String>
    <sys:String x:Key="TITLE_WARNNING_DMA_ERROR">IMU転送エラー</sys:String>
    <sys:String x:Key="TITLE_WARNNING_REMOTOR_BTN_ERROR">送信機ボタンエラー</sys:String>
    <sys:String x:Key="TITLE_WARNNING_LOW_BATTERY">低電圧警告</sys:String>
    <sys:String x:Key="TITLE_WARNNING_REDIO_LOST">ラジオ電波弱い</sys:String>
    <sys:String x:Key="TITLE_WARNNING_GPS_LOST">GPS電波弱い</sys:String>
    <sys:String x:Key="TITLE_WARNNING_ACC_ERROR">加速度警告、バッテリーを再接続してください</sys:String>
    <sys:String x:Key="TITLE_WARNNING_SPEED_ERROR">速度警告、GPS衛星を探しています</sys:String>
    <sys:String x:Key="TITLE_WARNNING_NOISE_ERROR">異常な振動が検出されたため、着陸してください。</sys:String>
    <sys:String x:Key="TITLE_WARNNING_HIGH_TEMPERATURE">フライコントローラに高熱が検出されたため、着陸してください。</sys:String>
    <sys:String x:Key="TITLE_WARNNING_VERSION_ERROR">フライコントローラとIMUバージョン不適合であり、メーカに連絡ください。</sys:String>
    <sys:String x:Key="TITLE_WARNNING_REMOTOR_SIGNAL_ERROR">送信機エラー</sys:String>
    <sys:String x:Key="TITLE_WARNNING_RTK_LOST">RTK</sys:String>
    <sys:String x:Key="TITLE_WARNNING_ALT_LIMIT">飛行高度が上限にたちました。</sys:String>

    <sys:String x:Key="TITLE_GYRO_STATIC">ジャイロセンサー：</sys:String>
    <sys:String x:Key="TITLE_ACC_STATIC">加速度センサー：</sys:String>
    <sys:String x:Key="TITLE_GPS_STATIC">Ｇ　Ｐ　Ｓ：</sys:String>
    <sys:String x:Key="TITLE_MAG_STATIC">磁気センサー：</sys:String>
    <sys:String x:Key="TITLE_BARO_STATIC">気圧計：</sys:String>
    <sys:String x:Key="TITLE_ALT_CONTROL_STATIC">高度コントロール：</sys:String>
    <sys:String x:Key="TITLE_ZHEN_DONG_STATIC">震度係数：</sys:String>
    <sys:String x:Key="TITLE_MOTOR_BALANCE_STATIC">モーターバランス：</sys:String>

    <sys:String x:Key="TITLE_STATUS_OK">正常</sys:String>
    <sys:String x:Key="TITLE_STATUS_NOT_OK">異常</sys:String>
    <sys:String x:Key="TITLE_STATUS_GOOD">良い</sys:String>
    <sys:String x:Key="TITLE_STATUS_BAD">悪い</sys:String>

    <sys:String x:Key="TITLE_GPS_ZHU_LOST_WARNNING">主GPS接続が切断された</sys:String>
    <sys:String x:Key="TITLE_GPS_CONG_LOST_WARNNING">従GPS接続が切断された</sys:String>
    <sys:String x:Key="TITLE_BARO_BAD_WARNNING">気圧計異常</sys:String>
    <sys:String x:Key="TITLE_GYRO1_WARNNING">ジャイロセンサー１異常</sys:String>
    <sys:String x:Key="TITLE_GYRO2_WARNNING">ジャイロセンサー２異常</sys:String>
    <sys:String x:Key="TITLE_ACC1_WARNNING">加速度センサー１異常</sys:String>
    <sys:String x:Key="TITLE_ACC2_WARNNING">加速度センサー２異常</sys:String>
    <sys:String x:Key="TITLE_MAG_ZHU_WARNNING">主磁気センサー干渉</sys:String>
    <sys:String x:Key="TITLE_MAG_CONG_WARNNING">従磁気センサー干渉</sys:String>

    <sys:String x:Key="TITLE_WPT_SHIFT">フライトルートをシフト</sys:String>
    <sys:String x:Key="TITLE_WPT_DOWN_LOAD">フライトルートをダウンロード</sys:String>
    <sys:String x:Key="TITLE_WPT_DOWN_LOAD_FAIL">フライトルートダウンロードが失敗した</sys:String>
    <sys:String x:Key="TITLE_WPT_DOWN_LOAD_SUCC">フライトルートをダウンロードした</sys:String>
    <sys:String x:Key="TITLE_WPT_DRAG_AREA_START">フライトシフトポイントを選択</sys:String>

    <sys:String x:Key="TITLE_SHOW_ROUTE">航跡</sys:String>
	<sys:String x:Key="TITLE_SHOW_2D_MAP">２D表示</sys:String>
	<sys:String x:Key="TITLE_SHOW_3D_MAP">３D表示</sys:String>
	<sys:String x:Key="TITLE_PLEASE_CLOSE_SERIAL">フライコントローラの接続を切ってください</sys:String>

    <sys:String x:Key="TITLE_MUILT_SETTINGS">マルチコプター設定</sys:String>
    <sys:String x:Key="TITLE_FIX_WING_SETTINGS">飛行機設定</sys:String>
    <sys:String x:Key="TITLE_FILTER_PARA">ノイズカット</sys:String>
    <sys:String x:Key="TITLE_FILTER_H">高</sys:String>
    <sys:String x:Key="TITLE_FILTER_M">中</sys:String>
    <sys:String x:Key="TITLE_FILTER_L">低</sys:String>

    <sys:String x:Key="TITLE_DAISU_PARA">アイドリング設定</sys:String>
    <sys:String x:Key="TITLE_DAISU_VERY_H">高</sys:String>
    <sys:String x:Key="TITLE_DAISU_H">やや高い</sys:String>
    <sys:String x:Key="TITLE_DAISU_MID">中</sys:String>
    <sys:String x:Key="TITLE_DAISU_LOW">やや低い</sys:String>
    <sys:String x:Key="TITLE_DAISU_VERY_LOW">低</sys:String>

    <sys:String x:Key="TITLE_RATA_PARA">レーダー設定</sys:String>
    <sys:String x:Key="TITLE_LANGUAGE_CH">Chinese</sys:String>
    <sys:String x:Key="TITLE_LANGUAGE_EN">English</sys:String>

    <sys:String x:Key="TITLE_FORCE_LANDING">自動着陸</sys:String>
    <sys:String x:Key="TITLE_WPT_OUTOF_RANGE">フライトポイントが範囲超過</sys:String>
    <sys:String x:Key="TITLE_WARN_NO_WPT_SPACE">行間を設定してください</sys:String>

    <sys:String x:Key="TITLE_SELECT_COM_NUM">シリアルポート選択</sys:String>
    <sys:String x:Key="TITLE_CURRENT_FIX_DIRECTION">カレント方向</sys:String>

    <sys:String x:Key="TITLE_CAMERA_SELECT">カメラ選択</sys:String>
    <sys:String x:Key="TITLE_CAMERA_ADD">カメラ追加</sys:String>
    <sys:String x:Key="TITLE_CAMERA_DELETE">カメラ削除</sys:String>

    <sys:String x:Key="TITLE_HANG_XIANG_NUM">パスポイント</sys:String>
    <sys:String x:Key="TITLE_PANG_XIANG_NUM">タイポイント</sys:String>
    <sys:String x:Key="TITLE_HANG_XIANG_COVER">パスポイント重合率（％）</sys:String>
    <sys:String x:Key="TITLE_PANG_XIANG_COVER">タイポイント重合率（％）</sys:String>
    <sys:String x:Key="TITLE_XIANG_YUAN_SIZE">画素サイズ</sys:String>
    <sys:String x:Key="TITLE_XIANG_YUAN_RESOLUTION">解像度</sys:String>
    <sys:String x:Key="TITLE_FOCUSE">焦点距離</sys:String>

    <sys:String x:Key="TITLE_CONTROLLER_CURRENT_VERSION">フライトコントローラファームウェアVer：</sys:String>
    <sys:String x:Key="TITLE_CONTROLLER_NEW_VERSION">最新フライトコントローラファームウェア：</sys:String>
    <sys:String x:Key="TITLE_IMU_CURRENT_VERSION">IMUフォームウェアVer：</sys:String>
    <sys:String x:Key="TITLE_IMU_NEW_VERSION">最新IMUファームウェア：</sys:String>
    <sys:String x:Key="TITLE_UPDATE_CONTROLLER">フライトコントローラファームウェアアップデート</sys:String>
    <sys:String x:Key="TITLE_UPDATE_IMU">IMUファームウェアアップデート</sys:String>
    <sys:String x:Key="TITLE_CONTROL_UPDATE_SUCCESS">フォームウェア更新が成功しました</sys:String>
    <sys:String x:Key="TITLE_IMU_UPDATE_SUCCESS">IMU更新が成功しました</sys:String>
    <sys:String x:Key="TITLE_CONTROL_UPDATE_FAIL">フォームウェア更新が失敗しました</sys:String>
    <sys:String x:Key="TITLE_IMU_UPDATE_FAIL">IMU更新が失敗しました。</sys:String>
    <sys:String x:Key="TITLE_EQUIPMENT_NAME">フライトコントローラ名：</sys:String>
    <sys:String x:Key="TITLE_EQUIPMENT_NO">フライトコントローラ番号：</sys:String>
</ResourceDictionary>
